amenities_id,amenities_description,amenities_score
0,['Wireless Internet'],10
1,['Heating'],9
2,['Kitchen'],8
3,['Smoke Detector'],7
4,['Essentials'],6
5,['Dryer'],5
6,['Washer'],4
7,['Internet'],3
8,['Shampoo'],2
9,['TV'],1
10,"['Heating', 'Wireless Internet']",19
11,"['Kitchen', 'Wireless Internet']",18
12,"['Smoke Detector', 'Wireless Internet']",17
13,"['Essentials', 'Wireless Internet']",16
14,"['Dryer', 'Wireless Internet']",15
15,"['Washer', 'Wireless Internet']",14
16,"['Internet', 'Wireless Internet']",13
17,"['Shampoo', 'Wireless Internet']",12
18,"['TV', 'Wireless Internet']",11
19,"['Heating', 'Kitchen']",17
20,"['Heating', 'Smoke Detector']",16
21,"['Essentials', 'Heating']",15
22,"['Dryer', 'Heating']",14
23,"['Heating', 'Washer']",13
24,"['Heating', 'Internet']",12
25,"['Heating', 'Shampoo']",11
26,"['Heating', 'TV']",10
27,"['Kitchen', 'Smoke Detector']",15
28,"['Essentials', 'Kitchen']",14
29,"['Dryer', 'Kitchen']",13
30,"['Kitchen', 'Washer']",12
31,"['Internet', 'Kitchen']",11
32,"['Kitchen', 'Shampoo']",10
33,"['Kitchen', 'TV']",9
34,"['Essentials', 'Smoke Detector']",13
35,"['Dryer', 'Smoke Detector']",12
36,"['Smoke Detector', 'Washer']",11
37,"['Internet', 'Smoke Detector']",10
38,"['Shampoo', 'Smoke Detector']",9
39,"['Smoke Detector', 'TV']",8
40,"['Dryer', 'Essentials']",11
41,"['Essentials', 'Washer']",10
42,"['Essentials', 'Internet']",9
43,"['Essentials', 'Shampoo']",8
44,"['Essentials', 'TV']",7
45,"['Dryer', 'Washer']",9
46,"['Dryer', 'Internet']",8
47,"['Dryer', 'Shampoo']",7
48,"['Dryer', 'TV']",6
49,"['Internet', 'Washer']",7
50,"['Shampoo', 'Washer']",6
51,"['TV', 'Washer']",5
52,"['Internet', 'Shampoo']",5
53,"['Internet', 'TV']",4
54,"['Shampoo', 'TV']",3
55,"['Heating', 'Kitchen', 'Wireless Internet']",27
56,"['Heating', 'Smoke Detector', 'Wireless Internet']",26
57,"['Essentials', 'Heating', 'Wireless Internet']",25
58,"['Dryer', 'Heating', 'Wireless Internet']",24
59,"['Heating', 'Washer', 'Wireless Internet']",23
60,"['Heating', 'Internet', 'Wireless Internet']",22
61,"['Heating', 'Shampoo', 'Wireless Internet']",21
62,"['Heating', 'TV', 'Wireless Internet']",20
63,"['Kitchen', 'Smoke Detector', 'Wireless Internet']",25
64,"['Essentials', 'Kitchen', 'Wireless Internet']",24
65,"['Dryer', 'Kitchen', 'Wireless Internet']",23
66,"['Kitchen', 'Washer', 'Wireless Internet']",22
67,"['Internet', 'Kitchen', 'Wireless Internet']",21
68,"['Kitchen', 'Shampoo', 'Wireless Internet']",20
69,"['Kitchen', 'TV', 'Wireless Internet']",19
70,"['Essentials', 'Smoke Detector', 'Wireless Internet']",23
71,"['Dryer', 'Smoke Detector', 'Wireless Internet']",22
72,"['Smoke Detector', 'Washer', 'Wireless Internet']",21
73,"['Internet', 'Smoke Detector', 'Wireless Internet']",20
74,"['Shampoo', 'Smoke Detector', 'Wireless Internet']",19
75,"['Smoke Detector', 'TV', 'Wireless Internet']",18
76,"['Dryer', 'Essentials', 'Wireless Internet']",21
77,"['Essentials', 'Washer', 'Wireless Internet']",20
78,"['Essentials', 'Internet', 'Wireless Internet']",19
79,"['Essentials', 'Shampoo', 'Wireless Internet']",18
80,"['Essentials', 'TV', 'Wireless Internet']",17
81,"['Dryer', 'Washer', 'Wireless Internet']",19
82,"['Dryer', 'Internet', 'Wireless Internet']",18
83,"['Dryer', 'Shampoo', 'Wireless Internet']",17
84,"['Dryer', 'TV', 'Wireless Internet']",16
85,"['Internet', 'Washer', 'Wireless Internet']",17
86,"['Shampoo', 'Washer', 'Wireless Internet']",16
87,"['TV', 'Washer', 'Wireless Internet']",15
88,"['Internet', 'Shampoo', 'Wireless Internet']",15
89,"['Internet', 'TV', 'Wireless Internet']",14
90,"['Shampoo', 'TV', 'Wireless Internet']",13
91,"['Heating', 'Kitchen', 'Smoke Detector']",24
92,"['Essentials', 'Heating', 'Kitchen']",23
93,"['Dryer', 'Heating', 'Kitchen']",22
94,"['Heating', 'Kitchen', 'Washer']",21
95,"['Heating', 'Internet', 'Kitchen']",20
96,"['Heating', 'Kitchen', 'Shampoo']",19
