zipcode,street,neighbourhood_id
98119,"Gilman Dr W, Seattle, WA 98119, United States",60
98109,"Queen Anne Avenue North, Seattle, WA 98109, United States",60
98107,"28th Ave NW, Seattle, WA 98107, United States",53
98117,"Northwest 65th Street, Seattle, WA 98117, United States",3
98103,"Woodlawn Ave N, Seattle, WA 98103, United States",77
98105,"Northeast 53rd Street, Seattle, WA 98105, United States",77
98115,"5th Avenue Northeast, Seattle, WA 98115, United States",24
98101,"Westlake Avenue, Seattle, WA 98101, United States",53
98122,"East Denny Way, Seattle, WA 98122, United States",53
98112,"East Thomas Street, Seattle, WA 98112, United States",44
98144,"22nd Avenue South, Seattle, WA 98144, United States",44
98121,"Western Ave, Seattle, WA 98121, United States",53
98102,"Yale Avenue East, Seattle, WA 98102, United States",16
98199,"Brygger Drive West, Seattle, WA 98199, United States",40
98104,"South Main Street, Seattle, WA 98104, United States",33
98134,"Occidental Ave S, Seattle, WA 98134, United States",58
98136,"Southwest Holly Street, Seattle, WA 98136, United States",21
98126,"Southwest Othello Street, Seattle, WA 98126, United States",21
98146,"Southwest 100th Street, Seattle, WA 98146, United States",1
98116,"61st Avenue Southwest, Seattle, WA 98116, United States",0
98177,"12th Avenue Northwest, Seattle, WA 98177, United States",14
98118,"Lake Washington Boulevard South, Seattle, WA 98118, United States",73
98108,"Airport Way South, Seattle, WA 98108, United States",53
98133,"Whitman Ave N, Seattle, WA 98133, United States",5
98106,"25th Avenue Southwest, Seattle, WA 98106, United States",69
98178,"South Ryan Street, Seattle, WA 98178, United States",61
98125,"Northeast 103rd Street, Seattle, WA 98125, United States",41
